source,target,interaction,question,option,is_diagnosis
ir14,neoplasm of larynx,No,Is the pain accompanied by any clicking or popping sound in the jaw?,No,1
ir15,otitis externa,Yes,Is the pain accompanied by any ear pain or hearing loss?,Yes,1
ir15,otitis media,Yes,Is the pain accompanied by any ear pain or hearing loss?,Yes,1
ir15,cellulitis,No,Is the pain accompanied by any ear pain or hearing loss?,No,1
ir15,anxiety disorder,No,Is the pain accompanied by any ear pain or hearing loss?,No,1
is1,is2,op1Text,Have you experienced any insect bites or consumed contaminated food or water?,op1Text,0
is1,is3,op2Text,Have you experienced any insect bites or consumed contaminated food or water?,op2Text,0
is2,is4,op1Text,"Do you have any of the following symptoms: rash, fever, headache, muscle aches, or joint pain?",op1Text,0
is2,is5,op2Text,"Do you have any of the following symptoms: rash, fever, headache, muscle aches, or joint pain?",op2Text,0
is3,is6,op1Text,"Do you have any of the following symptoms: nausea, vomiting, diarrhea, or abdominal pain?",op1Text,0
is3,is7,op2Text,"Do you have any of the following symptoms: nausea, vomiting, diarrhea, or abdominal pain?",op2Text,0
is4,is8,op1Text,"Have you noticed any redness, swelling, or pus around the insect bite?",op1Text,0
is4,is9,op2Text,"Have you noticed any redness, swelling, or pus around the insect bite?",op2Text,0
is5,is10,op1Text,"Do you have any difficulty breathing, chest pain, or rapid heart rate?",op1Text,0
is5,is11,op2Text,"Do you have any difficulty breathing, chest pain, or rapid heart rate?",op2Text,0
is6,is12,op1Text,Have you recently been in contact with someone who has similar symptoms?,op1Text,0
is6,is13,op2Text,Have you recently been in contact with someone who has similar symptoms?,op2Text,0
is7,is14,op1Text,Do you have any history of gastrointestinal issues or food allergies?,op1Text,0
is7,is15,op2Text,Do you have any history of gastrointestinal issues or food allergies?,op2Text,0
is8,cellulitis,Op1Text,QueText,Op1Text,1
is8,encephalitis,Op1Text,QueText,Op1Text,1
is8,tropical pulmonary eosinophilia,Op2Text,QueText,Op2Text,1
is8,orbital cellulitis,Op2Text,QueText,Op2Text,1
is9,neurovascular injury,Op1Text,QueText,Op1Text,1
is9,neurocirculatory asthenia,Op1Text,QueText,Op1Text,1
is9,trigeminal nerve inflammation,Op2Text,QueText,Op2Text,1
is9,acute bacterial pharyngitis,Op2Text,QueText,Op2Text,1
is10,acute folliculitis,Op1Text,QueText,Op1Text,1
is10,furuncle of face,Op1Text,QueText,Op1Text,1
is10,gingival abscess,Op2Text,QueText,Op2Text,1
is10,injury of abdomen,Op2Text,QueText,Op2Text,1
is11,neoplasm of adrenal gland,Op1Text,QueText,Op1Text,1
is11,neoplasm of larynx,Op1Text,QueText,Op1Text,1
is11,neoplasm of oropharynx,Op2Text,QueText,Op2Text,1
is11,pain associated with defecation,Op2Text,QueText,Op2Text,1
is12,pain in left wrist,Op1Text,QueText,Op1Text,1
is12,pain of left ankle joint,Op1Text,QueText,Op1Text,1
is12,pain of left forearm,Op2Text,QueText,Op2Text,1
is12,pain of left heel,Op2Text,QueText,Op2Text,1
is13,trigeminal neuralgia,Op1Text,QueText,Op1Text,1
is13,temporomandibular joint disorder,Op1Text,QueText,Op1Text,1
is13,neuropathic pain,Op2Text,QueText,Op2Text,1
is13,cluster headache,Op2Text,QueText,Op2Text,1
is14,cranial neuralgia,Op1Text,QueText,Op1Text,1
is14,dental calculus,Op1Text,QueText,Op1Text,1
is14,fracture of tooth,Op2Text,QueText,Op2Text,1
is14,gingival and periodontal diseases,Op2Text,QueText,Op2Text,1
is15,aphthous ulcer of mouth,Op1Text,QueText,Op1Text,1
is15,oral submucous fibrosis,Op1Text,QueText,Op1Text,1
is15,sinusitis,Op2Text,QueText,Op2Text,1
is15,migraine,Op2Text,QueText,Op2Text,1
it1,it2,Yes,Do you have any history of dental problems or recent dental procedures?,Yes,0
it1,it3,No,Do you have any history of dental problems or recent dental procedures?,No,0
it2,it4,Yes,Do you experience pain when biting or chewing?,Yes,0
it2,it5,No,Do you experience pain when biting or chewing?,No,0
it3,it6,Yes,Have you recently experienced any facial injuries or trauma?,Yes,0
it3,it7,No,Have you recently experienced any facial injuries or trauma?,No,0
it4,it8,Yes,Is the pain localized to a specific tooth or area in your mouth?,Yes,0
it4,it9,No,Is the pain localized to a specific tooth or area in your mouth?,No,0
it5,it10,Yes,"Do you have any swelling, redness, or tenderness in your gums?",Yes,0
it5,it11,No,"Do you have any swelling, redness, or tenderness in your gums?",No,0
it6,it12,Yes,"Is there any visible bruising, swelling, or deformity on your face?",Yes,0
it6,it13,No,"Is there any visible bruising, swelling, or deformity on your face?",No,0
it7,it14,Yes,Do you have any history of neurological disorders or nerve damage?,Yes,0
it7,it15,No,Do you have any history of neurological disorders or nerve damage?,No,0
it8,dental abscess,Op1Text,QueText,Op1Text,1
it8,pulpitis,Op1Text,QueText,Op1Text,1
it8,fracture of tooth,Op2Text,QueText,Op2Text,1
it8,dental calculus,Op2Text,QueText,Op2Text,1
it9,gingival and periodontal diseases,Op1Text,QueText,Op1Text,1
it9,aphthous ulcer of mouth,Op1Text,QueText,Op1Text,1
it9,oral submucous fibrosis,Op2Text,QueText,Op2Text,1
it9,toothache,Op2Text,QueText,Op2Text,1
it10,gingival abscess,Op1Text,QueText,Op1Text,1
it10,acute folliculitis,Op1Text,QueText,Op1Text,1
it10,furuncle of face,Op2Text,QueText,Op2Text,1
it10,injury of abdomen,Op2Text,QueText,Op2Text,1
it11,neoplasm of adrenal gland,Op1Text,QueText,Op1Text,1
it11,neoplasm of larynx,Op1Text,QueText,Op1Text,1
it11,neoplasm of oropharynx,Op2Text,QueText,Op2Text,1
it11,orbital cellulitis,Op2Text,QueText,Op2Text,1
it12,pain associated with defecation,Op1Text,QueText,Op1Text,1
it12,pain in left wrist,Op1Text,QueText,Op1Text,1
it12,pain of left ankle joint,Op2Text,QueText,Op2Text,1
it12,pain of left forearm,Op2Text,QueText,Op2Text,1
it13,pain of left heel,Op1Text,QueText,Op1Text,1
it13,trigeminal neuralgia,Op1Text,QueText,Op1Text,1
it13,temporomandibular joint disorder,Op2Text,QueText,Op2Text,1
it13,neuropathic pain,Op2Text,QueText,Op2Text,1
it14,cluster headache,Op1Text,QueText,Op1Text,1
it14,cranial neuralgia,Op1Text,QueText,Op1Text,1
it14,sinusitis,Op2Text,QueText,Op2Text,1
it14,migraine,Op2Text,QueText,Op2Text,1
it15,atypical facial pain,Op1Text,QueText,Op1Text,1
it15,herpes zoster,Op1Text,QueText,Op1Text,1
it15,trigeminal nerve inflammation,Op2Text,QueText,Op2Text,1
it15,acute bacterial pharyngitis,Op2Text,QueText,Op2Text,1
iu1,iu2,Yes,Do you smoke or have a history of smoking?,Yes,0
iu1,iu3,No,Do you smoke or have a history of smoking?,No,0
iu2,iu4,Yes,Have you experienced any unintentional weight loss?,Yes,0
iu2,iu5,No,Have you experienced any unintentional weight loss?,No,0
iu3,iu6,Yes,Do you have a history of kidney problems?,Yes,0
iu3,iu7,No,Do you have a history of kidney problems?,No,0
iu4,iu8,Yes,Do you have a persistent cough or shortness of breath?,Yes,0
iu4,iu9,No,Do you have a persistent cough or shortness of breath?,No,0
iu5,iu10,Yes,"Do you have any other symptoms like facial swelling, redness, or tenderness?",Yes,0
iu5,iu11,No,"Do you have any other symptoms like facial swelling, redness, or tenderness?",No,0
iu6,iu12,Yes,"Do you have any symptoms like blood in urine, flank pain, or fever?",Yes,0
iu6,iu13,No,"Do you have any symptoms like blood in urine, flank pain, or fever?",No,0
iu7,iu14,Yes,Do you have any history of head injury or trauma?,Yes,0
iu7,iu15,No,Do you have any history of head injury or trauma?,No,0
iu8,neoplasm of lung,Yes,Have you been exposed to any toxic substances or chemicals?,Yes,1
iu8,encephalitis,Yes,Have you been exposed to any toxic substances or chemicals?,Yes,1
iu8,tropical pulmonary eosinophilia,No,Have you been exposed to any toxic substances or chemicals?,No,1
iu8,neurovascular injury,No,Have you been exposed to any toxic substances or chemicals?,No,1
iu9,neuropathy,Yes,Do you have any history of autoimmune diseases?,Yes,1
iu9,trigeminal nerve inflammation,Yes,Do you have any history of autoimmune diseases?,Yes,1
iu9,idiopathic disease,No,Do you have any history of autoimmune diseases?,No,1
iu9,neurocirculatory asthenia,No,Do you have any history of autoimmune diseases?,No,1
iu10,dental abscess,Yes,Do you have any history of dental problems or recent dental procedures?,Yes,1
iu10,pulpitis,Yes,Do you have any history of dental problems or recent dental procedures?,Yes,1
iu10,cellulitis,No,Do you have any history of dental problems or recent dental procedures?,No,1
iu10,orbital cellulitis,No,Do you have any history of dental problems or recent dental procedures?,No,1
iu11,herpes zoster,Yes,Do you have any history of skin conditions or rashes?,Yes,1
iu11,post herpetic neuralgia,Yes,Do you have any history of skin conditions or rashes?,Yes,1
iu11,trigeminal autonomic cephalgia,No,Do you have any history of skin conditions or rashes?,No,1
iu11,notalgia paresthetica,No,Do you have any history of skin conditions or rashes?,No,1
iu12,neoplasm of kidney,Yes,Do you have any history of high blood pressure?,Yes,1
iu12,frank hematuria,Yes,Do you have any history of high blood pressure?,Yes,1
iu12,neoplasm of adrenal gland,No,Do you have any history of high blood pressure?,No,1
iu12,extrapyramidal disease,No,Do you have any history of high blood pressure?,No,1
iu13,allergic rhinitis,Yes,Do you have any history of allergies?,Yes,1
iu13,conjunctivitis,Yes,Do you have any history of allergies?,Yes,1
iu13,tonsillitis,No,Do you have any history of allergies?,No,1
iu13,otitis externa,No,Do you have any history of allergies?,No,1
iu14,temporomandibular joint disorder,Yes,Do you have any history of neck or jaw problems?,Yes,1
iu14,trigeminal neuralgia,Yes,Do you have any history of neck or jaw problems?,Yes,1
iu14,neuropathic pain,No,Do you have any history of neck or jaw problems?,No,1
iu14,cluster headache,No,Do you have any history of neck or jaw problems?,No,1
iu15,dental calculus,Yes,Do you have any history of dental problems?,Yes,1
iu15,fracture of tooth,Yes,Do you have any history of dental problems?,Yes,1
iu15,gingival and periodontal diseases,No,Do you have any history of dental problems?,No,1
iu15,aphthous ulcer of mouth,No,Do you have any history of dental problems?,No,1
iv1,iv2,Yes,Do you have a history of head injuries or trauma?,Yes,0
iv1,iv3,No,Do you have a history of head injuries or trauma?,No,0
iv2,iv4,Yes,"Have you recently experienced any of the following: dizziness, confusion, or memory loss?",Yes,0
iv2,iv5,No,"Have you recently experienced any of the following: dizziness, confusion, or memory loss?",No,0
iv3,iv6,Yes,Do you have a history of high blood pressure or heart disease?,Yes,0
iv3,iv7,No,Do you have a history of high blood pressure or heart disease?,No,0
iv4,iv8,Yes,Have you been experiencing persistent headaches or worsening of the face pain?,Yes,0
iv4,iv9,No,Have you been experiencing persistent headaches or worsening of the face pain?,No,0
iv5,iv10,Yes,Do you have a history of dental problems or oral infections?,Yes,0
iv5,iv11,No,Do you have a history of dental problems or oral infections?,No,0
iv6,iv12,Yes,Do you experience pain or discomfort in your jaw or temporomandibular joint?,Yes,0
iv6,iv13,No,Do you experience pain or discomfort in your jaw or temporomandibular joint?,No,0
iv7,iv14,Yes,Do you have a history of allergies or sinus problems?,Yes,0
iv7,iv15,No,Do you have a history of allergies or sinus problems?,No,0
iv8,neurovascular injury,Op1Text,QueText,Op1Text,1
iv8,encephalitis,Op1Text,QueText,Op1Text,1
iv8,cranial neuralgia,Op2Text,QueText,Op2Text,1
iv8,trigeminal nerve inflammation,Op2Text,QueText,Op2Text,1
iv9,anxiety disorder,Op1Text,QueText,Op1Text,1
iv9,idiopathic disease,Op1Text,QueText,Op1Text,1
iv9,neuropathic pain,Op2Text,QueText,Op2Text,1
iv9,atypical facial pain,Op2Text,QueText,Op2Text,1
iv10,dental abscess,Op1Text,QueText,Op1Text,1
iv10,pulpitis,Op1Text,QueText,Op1Text,1
iv10,fracture of tooth,Op2Text,QueText,Op2Text,1
iv10,gingival and periodontal diseases,Op2Text,QueText,Op2Text,1
iv11,cluster headache,Op1Text,QueText,Op1Text,1
iv11,migraine,Op1Text,QueText,Op1Text,1
iv11,trigeminal neuralgia,Op2Text,QueText,Op2Text,1
iv11,temporomandibular joint disorder,Op2Text,QueText,Op2Text,1
iv12,temporomandibular joint disorder,Op1Text,QueText,Op1Text,1
iv12,neuropathy,Op1Text,QueText,Op1Text,1
iv12,trigeminal neuralgia,Op2Text,QueText,Op2Text,1
iv12,neurocirculatory asthenia,Op2Text,QueText,Op2Text,1
iv13,sinusitis,Op1Text,QueText,Op1Text,1
iv13,allergic rhinitis,Op1Text,QueText,Op1Text,1
iv13,herpes zoster,Op2Text,QueText,Op2Text,1
iv13,conjunctivitis,Op2Text,QueText,Op2Text,1
iv14,sinusitis,Op1Text,QueText,Op1Text,1
iv14,allergic rhinitis,Op1Text,QueText,Op1Text,1
iv14,tonsillitis,Op2Text,QueText,Op2Text,1
iv14,otitis externa,Op2Text,QueText,Op2Text,1
iv15,migraine,Op1Text,QueText,Op1Text,1
iv15,cluster headache,Op1Text,QueText,Op1Text,1
iv15,trigeminal neuralgia,Op2Text,QueText,Op2Text,1
iv15,temporomandibular joint disorder,Op2Text,QueText,Op2Text,1
iw1,iw2,op1Text,What is the infectious disease you have been exposed to?,op1Text,0
iw1,iw3,op2Text,What is the infectious disease you have been exposed to?,op2Text,0
iw2,iw4,op1Text,Have you been vaccinated for the infectious disease?,op1Text,0
iw2,iw5,op2Text,Have you been vaccinated for the infectious disease?,op2Text,0
iw3,iw6,op1Text,"Are you experiencing any other symptoms such as fatigue, muscle aches, or joint pain?",op1Text,0
iw3,iw7,op2Text,"Are you experiencing any other symptoms such as fatigue, muscle aches, or joint pain?",op2Text,0
iw4,iw8,op1Text,Did you recently travel to a region where the infectious disease is prevalent?,op1Text,0
iw4,iw9,op2Text,Did you recently travel to a region where the infectious disease is prevalent?,op2Text,0
iw5,iw10,op1Text,Are you currently taking any medications or undergoing treatment for the infectious disease?,op1Text,0
iw5,iw11,op2Text,Are you currently taking any medications or undergoing treatment for the infectious disease?,op2Text,0
iw6,iw12,op1Text,Have you been in close contact with someone who has the infectious disease?,op1Text,0
iw6,iw13,op2Text,Have you been in close contact with someone who has the infectious disease?,op2Text,0
iw7,iw14,op1Text,Do you have a history of recurrent infections or a weakened immune system?,op1Text,0
iw7,iw15,op2Text,Do you have a history of recurrent infections or a weakened immune system?,op2Text,0
iw8,encephalitis,Op1Text,QueText,Op1Text,1
iw8,tropical pulmonary eosinophilia,Op1Text,QueText,Op1Text,1
iw8,acute bacterial pharyngitis,Op2Text,QueText,Op2Text,1
iw8,acute folliculitis,Op2Text,QueText,Op2Text,1
iw9,furuncle of face,Op1Text,QueText,Op1Text,1
iw9,gingival abscess,Op1Text,QueText,Op1Text,1
iw9,injury of abdomen,Op2Text,QueText,Op2Text,1
iw9,neoplasm of adrenal gland,Op2Text,QueText,Op2Text,1
iw10,neoplasm of larynx,Op1Text,QueText,Op1Text,1
iw10,neoplasm of oropharynx,Op1Text,QueText,Op1Text,1
iw10,orbital cellulitis,Op2Text,QueText,Op2Text,1
iw10,pain associated with defecation,Op2Text,QueText,Op2Text,1
iw11,pain in left wrist,Op1Text,QueText,Op1Text,1
iw11,pain of left ankle joint,Op1Text,QueText,Op1Text,1
iw11,pain of left forearm,Op2Text,QueText,Op2Text,1
iw11,pain of left heel,Op2Text,QueText,Op2Text,1
iw12,trigeminal neuralgia,Op1Text,QueText,Op1Text,1
iw12,temporomandibular joint disorder,Op1Text,QueText,Op1Text,1
iw12,neuropathic pain,Op2Text,QueText,Op2Text,1
iw12,cluster headache,Op2Text,QueText,Op2Text,1
iw13,cranial neuralgia,Op1Text,QueText,Op1Text,1
iw13,dental calculus,Op1Text,QueText,Op1Text,1
iw13,fracture of tooth,Op2Text,QueText,Op2Text,1
iw13,gingival and periodontal diseases,Op2Text,QueText,Op2Text,1
iw14,aphthous ulcer of mouth,Op1Text,QueText,Op1Text,1
iw14,oral submucous fibrosis,Op1Text,QueText,Op1Text,1
iw14,sinusitis,Op2Text,QueText,Op2Text,1
iw14,migraine,Op2Text,QueText,Op2Text,1
iw15,atypical facial pain,Op1Text,QueText,Op1Text,1
iw15,herpes zoster,Op1Text,QueText,Op1Text,1
iw15,toothache,Op2Text,QueText,Op2Text,1
ix1,ix2,Yes,Do you have a history of headaches or migraines?,Yes,0
ix1,ix3,No,Do you have a history of headaches or migraines?,No,0
ix2,ix4,Yes,Do you experience an aura before the headache?,Yes,0
ix2,ix5,No,Do you experience an aura before the headache?,No,0
ix3,ix6,Yes,Have you recently experienced any head or facial injuries?,Yes,0
ix3,ix7,No,Have you recently experienced any head or facial injuries?,No,0
ix4,ix8,Yes,Do the headaches last for more than 4 hours?,Yes,0
ix4,ix9,No,Do the headaches last for more than 4 hours?,No,0
ix5,ix10,Yes,Do you have a family history of migraines?,Yes,0
ix5,ix11,No,Do you have a family history of migraines?,No,0
ix6,ix12,Yes,Was the injury severe enough to cause a concussion?,Yes,0
ix6,ix13,No,Was the injury severe enough to cause a concussion?,No,0
ix7,ix14,Yes,Do you have a history of dental problems or toothaches?,Yes,0
ix7,ix15,No,Do you have a history of dental problems or toothaches?,No,0
ix8,migraine,Yes,Do the headaches worsen with physical activity?,Yes,1
ix8,cluster headache,No,Do the headaches worsen with physical activity?,No,1
ix9,cluster headache,Yes,Do the headaches occur frequently?,Yes,1
ix9,trigeminal autonomic cephalgia,No,Do the headaches occur frequently?,No,1
ix10,migraine,Yes,Do the headaches worsen with physical activity?,Yes,1
ix10,cluster headache,No,Do the headaches worsen with physical activity?,No,1
ix11,cluster headache,Yes,Do the headaches occur frequently?,Yes,1
ix11,trigeminal autonomic cephalgia,No,Do the headaches occur frequently?,No,1
ix12,post-concussion syndrome,Yes,Do you still experience pain after the concussion symptoms have subsided?,Yes,1
ix12,neurovascular injury,No,Do you still experience pain after the concussion symptoms have subsided?,No,1
ix13,neuropathic pain,Yes,Is the pain localized to a specific area of the face?,Yes,1
ix13,cranial neuralgia,No,Is the pain localized to a specific area of the face?,No,1
ix14,dental abscess,Yes,Is the pain sharp and sudden?,Yes,1
ix14,pulpitis,No,Is the pain sharp and sudden?,No,1
ix15,trigeminal neuralgia,Yes,Is the pain triggered by certain facial movements or touch?,Yes,1
ix15,temporomandibular joint disorder,No,Is the pain triggered by certain facial movements or touch?,No,1
iy1,iy2,op1Text,What is the duration of your new medication or treatment?,op1Text,0
iy1,iy3,op2Text,What is the duration of your new medication or treatment?,op2Text,0
iy2,iy4,op1Text,Have you experienced any side effects from the new medication or treatment?,op1Text,0
iy2,iy5,op2Text,Have you experienced any side effects from the new medication or treatment?,op2Text,0
iy3,iy6,op1Text,Have you had any recent head or facial injuries?,op1Text,0
iy3,iy7,op2Text,Have you had any recent head or facial injuries?,op2Text,0
iy4,iy8,op1Text,Do you have a history of dental problems or oral infections?,op1Text,0
iy4,iy9,op2Text,Do you have a history of dental problems or oral infections?,op2Text,0
iy5,iy10,op1Text,Do you have a history of sinus infections or allergies?,op1Text,0
iy5,iy11,op2Text,Do you have a history of sinus infections or allergies?,op2Text,0
iy6,iy12,op1Text,Do you have a history of nerve-related disorders or chronic pain?,op1Text,0
iy6,iy13,op2Text,Do you have a history of nerve-related disorders or chronic pain?,op2Text,0
iy7,iy14,op1Text,Do you have a history of headaches or migraines?,op1Text,0
iy7,iy15,op2Text,Do you have a history of headaches or migraines?,op2Text,0
iy8,dental abscess,Op1Text,QueText,Op1Text,1
iy8,pulpitis,Op1Text,QueText,Op1Text,1
iy8,gingival abscess,Op2Text,QueText,Op2Text,1
iy8,oral submucous fibrosis,Op2Text,QueText,Op2Text,1
iy9,neuropathy,Op1Text,QueText,Op1Text,1
iy9,trigeminal neuralgia,Op1Text,QueText,Op1Text,1
iy9,temporomandibular joint disorder,Op2Text,QueText,Op2Text,1
iy9,neurovascular injury,Op2Text,QueText,Op2Text,1
iy10,sinusitis,Op1Text,QueText,Op1Text,1
iy10,allergic rhinitis,Op1Text,QueText,Op1Text,1
iy10,herpes zoster,Op2Text,QueText,Op2Text,1
iy10,conjunctivitis,Op2Text,QueText,Op2Text,1
iy11,migraine,Op1Text,QueText,Op1Text,1
iy11,cluster headache,Op1Text,QueText,Op1Text,1
iy11,cranial neuralgia,Op2Text,QueText,Op2Text,1
iy11,atypical facial pain,Op2Text,QueText,Op2Text,1
iy12,trigeminal nerve inflammation,Op1Text,QueText,Op1Text,1
iy12,neuropathic pain,Op1Text,QueText,Op1Text,1
iy12,post herpetic neuralgia,Op2Text,QueText,Op2Text,1
iy12,trigeminal autonomic cephalgia,Op2Text,QueText,Op2Text,1
iy13,neoplasm of kidney,Op1Text,QueText,Op1Text,1
iy13,notalgia paresthetica,Op1Text,QueText,Op1Text,1
iy13,xanthelasma palpebrarum,Op2Text,QueText,Op2Text,1
iy13,encephalitis,Op2Text,QueText,Op2Text,1
iy14,tropical pulmonary eosinophilia,Op1Text,QueText,Op1Text,1
iy14,induration of skin,Op1Text,QueText,Op1Text,1
iy14,extrapyramidal disease,Op2Text,QueText,Op2Text,1
iy14,idiopathic disease,Op2Text,QueText,Op2Text,1
iy15,frank hematuria,Op1Text,QueText,Op1Text,1
iy15,neurocirculatory asthenia,Op1Text,QueText,Op1Text,1
iy15,acute bacterial pharyngitis,Op2Text,QueText,Op2Text,1
iy15,acute folliculitis,Op2Text,QueText,Op2Text,1
iz1,iz2,Yes,Do you have a history of head injury or trauma?,Yes,0
iz1,iz3,No,Do you have a history of head injury or trauma?,No,0
iz2,iz4,Yes,Did the face pain start after the head injury?,Yes,0
iz2,iz5,No,Did the face pain start after the head injury?,No,0
iz3,iz6,Yes,Do you have a history of sinus problems or allergies?,Yes,0
iz3,iz7,No,Do you have a history of sinus problems or allergies?,No,0
iz4,iz8,Constant,Is the pain constant or intermittent?,Constant,0
iz4,iz9,Intermittent,Is the pain constant or intermittent?,Intermittent,0
iz5,iz10,Yes,Do you experience pain when chewing or opening your mouth?,Yes,0
iz5,iz11,No,Do you experience pain when chewing or opening your mouth?,No,0
iz6,iz12,Yes,Do you have a history of dental problems or toothaches?,Yes,0
iz6,iz13,No,Do you have a history of dental problems or toothaches?,No,0
iz7,iz14,Yes,Do you have a history of anxiety or stress?,Yes,0
iz7,iz15,No,Do you have a history of anxiety or stress?,No,0
iz8,neurovascular injury,Op1Text,QueText,Op1Text,1
iz8,cranial neuralgia,Op1Text,QueText,Op1Text,1
iz8,trigeminal nerve inflammation,Op2Text,QueText,Op2Text,1
iz8,encephalitis,Op2Text,QueText,Op2Text,1
iz9,post herpetic neuralgia,Op1Text,QueText,Op1Text,1
iz9,trigeminal autonomic cephalgia,Op1Text,QueText,Op1Text,1
iz9,neuropathic pain,Op2Text,QueText,Op2Text,1
iz9,cluster headache,Op2Text,QueText,Op2Text,1
iz10,temporomandibular joint disorder,Op1Text,QueText,Op1Text,1
iz10,dental abscess,Op1Text,QueText,Op1Text,1
iz10,pulpitis,Op2Text,QueText,Op2Text,1
iz10,gingival and periodontal diseases,Op2Text,QueText,Op2Text,1
iz11,atypical facial pain,Op1Text,QueText,Op1Text,1
iz11,anxiety disorder,Op1Text,QueText,Op1Text,1
iz11,idiopathic disease,Op2Text,QueText,Op2Text,1
iz11,neurocirculatory asthenia,Op2Text,QueText,Op2Text,1
iz12,dental calculus,Op1Text,QueText,Op1Text,1
iz12,fracture of tooth,Op1Text,QueText,Op1Text,1
iz12,aphthous ulcer of mouth,Op2Text,QueText,Op2Text,1
iz12,oral submucous fibrosis,Op2Text,QueText,Op2Text,1
iz13,sinusitis,Op1Text,QueText,Op1Text,1
iz13,allergic rhinitis,Op1Text,QueText,Op1Text,1
iz13,herpes zoster,Op2Text,QueText,Op2Text,1
iz13,conjunctivitis,Op2Text,QueText,Op2Text,1
iz14,anxiety disorder,Op1Text,QueText,Op1Text,1
iz14,neurocirculatory asthenia,Op1Text,QueText,Op1Text,1
iz14,idiopathic disease,Op2Text,QueText,Op2Text,1
iz14,atypical facial pain,Op2Text,QueText,Op2Text,1
iz15,migraine,Op1Text,QueText,Op1Text,1
iz15,cluster headache,Op1Text,QueText,Op1Text,1
iz15,trigeminal neuralgia,Op2Text,QueText,Op2Text,1
iz15,neuropathy,Op2Text,QueText,Op2Text,1
ja1,ja2,Yes,Do you have a history of allergies or asthma?,Yes,0
ja1,ja3,No,Do you have a history of allergies or asthma?,No,0
ja2,ja4,Yes,"Do you experience itching, redness, or swelling around the eyes?",Yes,0
ja2,ja5,No,"Do you experience itching, redness, or swelling around the eyes?",No,0
ja3,ja6,Yes,Have you recently experienced any dental issues or procedures?,Yes,0
ja3,ja7,No,Have you recently experienced any dental issues or procedures?,No,0
ja4,ja8,Yes,Do your symptoms worsen during specific seasons or when exposed to certain triggers?,Yes,0
ja4,ja9,No,Do your symptoms worsen during specific seasons or when exposed to certain triggers?,No,0
ja5,ja10,Yes,Do you have a history of head or facial injuries?,Yes,0
ja5,ja11,No,Do you have a history of head or facial injuries?,No,0
ja6,ja12,Yes,Is the pain localized around a specific tooth or teeth?,Yes,0
ja6,ja13,No,Is the pain localized around a specific tooth or teeth?,No,0
ja7,ja14,Yes,Do you experience any numbness or tingling sensations in your face?,Yes,0
ja7,ja15,No,Do you experience any numbness or tingling sensations in your face?,No,0
ja8,allergic rhinitis,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja8,conjunctivitis,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja9,neuropathy,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja9,trigeminal neuralgia,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja10,neurovascular injury,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja10,trigeminal nerve inflammation,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja11,atypical facial pain,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja11,cranial neuralgia,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja12,dental abscess,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja12,pulpitis,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja12,toothache,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja13,temporomandibular joint disorder,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja13,neuropathic pain,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja14,trigeminal neuralgia,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja14,neuropathy,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja15,cluster headache,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
ja15,migraine,Op1Text,"Based on your symptoms and history, the possible diagnoses are:",Op1Text,1
jb1,jb2,Yes,Do you have a history of head injury or trauma?,Yes,0
jb1,jb3,No,Do you have a history of head injury or trauma?,No,0
jb2,jb4,Yes,Did the pain start after the head injury?,Yes,0
jb2,jb5,No,Did the pain start after the head injury?,No,0
jb3,jb6,Yes,"Do you experience the pain in short, stabbing bursts?",Yes,0
jb3,jb7,No,"Do you experience the pain in short, stabbing bursts?",No,0
jb4,jb8,Yes,Have you consulted a doctor about the head injury?,Yes,0
jb4,jb9,No,Have you consulted a doctor about the head injury?,No,0
jb5,jb10,Yes,Do you have a history of sinus infections?,Yes,0
jb5,jb11,No,Do you have a history of sinus infections?,No,0
jb6,jb12,Yes,Is the pain triggered by touching a specific area on your face?,Yes,0
jb6,jb13,No,Is the pain triggered by touching a specific area on your face?,No,0
jb7,jb14,Yes,Do you have a history of dental problems?,Yes,0
jb7,jb15,No,Do you have a history of dental problems?,No,0
jb8,neurovascular injury,Op1Text,QueText,Op1Text,1
jb8,encephalitis,Op1Text,QueText,Op1Text,1
jb8,neoplasm of kidney,Op2Text,QueText,Op2Text,1
